id,question,original_question,expected_answer,tipo_inferencia,source_block_index,paragraph_index,source_title,source_url,context_text,context_words,entities,relations,reasoning_path,num_hops,difficulty,requires_ontology,retrieval_scope,dataset_version
1,Como as evidências conectam Bacia de Santos à retenção ou migração de hidrocarbonetos?,Que entidade geológica explica a retenção do petróleo abaixo dos reservatórios carbonáticos da Bacia de Santos?,"A camada de sal/evaporitos é a entidade que atua como barreira ou selo, mantendo os hidrocarbonetos retidos nos reservatórios carbonáticos do pré-sal.",selo_e_retencao,1,1,Quem Somos | Comunica Bacia de Santos | Petrobras,https://comunicabaciadesantos.petrobras.com.br/quem-somos,"Em uma região de águas ultraprofundas, ocorre o desenvolvimento de reservatórios carbonáticos abaixo de uma camada de sal com até dois quilômetros de espessura, conhecida como pré-sal, caracterizando uma das maiores províncias de petróleo do mundo, apresentando acumulações de óleo pesado, óleo leve e gás não associado.",47,Bacia de Santos | pré-sal | camada de sal | evaporitos | halita | anidrita | selo | trapa | barreira,"[{""head"": ""Bacia de Santos"", ""relation"": ""acts_as"", ""tail"": ""pré-sal""}, {""head"": ""pré-sal"", ""relation"": ""enables"", ""tail"": ""camada de sal""}, {""head"": ""camada de sal"", ""relation"": ""prevents_or_retains"", ""tail"": ""evaporitos""}, {""head"": ""evaporitos"", ""relation"": ""prevents_or_retains"", ""tail"": ""halita""}, {""head"": ""halita"", ""relation"": ""prevents_or_retains"", ""tail"": ""baixa permeabilidade""}, {""head"": ""baixa permeabilidade"", ""relation"": ""prevents_or_retains"", ""tail"": ""selo geológico""}]",Bacia de Santos -> pré-sal -> camada de sal -> evaporitos -> halita -> baixa permeabilidade -> selo geológico,4,hard,True,multi_document,graphrag
1,Como as evidências conectam Bacia de Santos à retenção ou migração de hidrocarbonetos?,Que entidade geológica explica a retenção do petróleo abaixo dos reservatórios carbonáticos da Bacia de Santos?,"A camada de sal/evaporitos é a entidade que atua como barreira ou selo, mantendo os hidrocarbonetos retidos nos reservatórios carbonáticos do pré-sal.",selo_e_retencao,2,1,Petróleo do Pré-Sal | SGB,https://www.sgb.gov.br/petroleo-do-pre-sal,"Essa barreira, chamada de trapa, pode ser uma rocha impermeável, como uma camada de sal.",15,Bacia de Santos | pré-sal | camada de sal | evaporitos | halita | anidrita | selo | trapa | barreira,"[{""head"": ""Bacia de Santos"", ""relation"": ""acts_as"", ""tail"": ""pré-sal""}, {""head"": ""pré-sal"", ""relation"": ""enables"", ""tail"": ""camada de sal""}, {""head"": ""camada de sal"", ""relation"": ""prevents_or_retains"", ""tail"": ""evaporitos""}, {""head"": ""evaporitos"", ""relation"": ""prevents_or_retains"", ""tail"": ""halita""}, {""head"": ""halita"", ""relation"": ""prevents_or_retains"", ""tail"": ""baixa permeabilidade""}, {""head"": ""baixa permeabilidade"", ""relation"": ""prevents_or_retains"", ""tail"": ""selo geológico""}]",Bacia de Santos -> pré-sal -> camada de sal -> evaporitos -> halita -> baixa permeabilidade -> selo geológico,4,hard,True,multi_document,graphrag
1,Como as evidências conectam Bacia de Santos à retenção ou migração de hidrocarbonetos?,Que entidade geológica explica a retenção do petróleo abaixo dos reservatórios carbonáticos da Bacia de Santos?,"A camada de sal/evaporitos é a entidade que atua como barreira ou selo, mantendo os hidrocarbonetos retidos nos reservatórios carbonáticos do pré-sal.",selo_e_retencao,2,2,Petróleo do Pré-Sal | SGB,https://www.sgb.gov.br/petroleo-do-pre-sal,"Essa espessa camada de sal, formada principalmente de halita (cloreto de sódio, ou seja, o sal que usamos na comida) e anidrita (sulfato de cálcio) é uma barreira que se formou diretamente sobre a rocha geradora, impedindo que, neste caso, o petróleo migrasse.",43,Bacia de Santos | pré-sal | camada de sal | evaporitos | halita | anidrita | selo | trapa | barreira,"[{""head"": ""Bacia de Santos"", ""relation"": ""acts_as"", ""tail"": ""pré-sal""}, {""head"": ""pré-sal"", ""relation"": ""enables"", ""tail"": ""camada de sal""}, {""head"": ""camada de sal"", ""relation"": ""prevents_or_retains"", ""tail"": ""evaporitos""}, {""head"": ""evaporitos"", ""relation"": ""prevents_or_retains"", ""tail"": ""halita""}, {""head"": ""halita"", ""relation"": ""prevents_or_retains"", ""tail"": ""baixa permeabilidade""}, {""head"": ""baixa permeabilidade"", ""relation"": ""prevents_or_retains"", ""tail"": ""selo geológico""}]",Bacia de Santos -> pré-sal -> camada de sal -> evaporitos -> halita -> baixa permeabilidade -> selo geológico,4,hard,True,multi_document,graphrag
2,Como as evidências conectam Bacia de Santos à retenção ou migração de hidrocarbonetos?,Qual unidade deve ser associada ao papel de cobertura dos campos gigantes do pré-sal da Bacia de Santos?,A espessa camada de evaporitos deve ser associada ao papel de cobertura/selo dos campos gigantes e supergigantes do pré-sal.,selo_e_retencao,1,1,Estratigrafia e modelos deposicionais carbonáticos do Pré-sal da Bacia de Santos | Universidade Petrobras,https://publicacoesup.petrobras.com.br/peld/catalog/book/12/chapter/16,Campos gigantes e supergigantes de alta produtividade na seção Pré-sal da Bacia de Santos são constituídos predominantemente por fácies carbonáticas lacustres e selados por espessa camada de evaporitos.,28,Bacia de Santos | pré-sal | evaporitos | selo | rocha selante | reservatório | hidrocarbonetos | carbonáticas | permeabilidade,"[{""head"": ""Bacia de Santos"", ""relation"": ""acts_as"", ""tail"": ""pré-sal""}, {""head"": ""pré-sal"", ""relation"": ""enables"", ""tail"": ""evaporitos""}, {""head"": ""evaporitos"", ""relation"": ""prevents_or_retains"", ""tail"": ""selo""}, {""head"": ""selo"", ""relation"": ""prevents_or_retains"", ""tail"": ""rocha selante""}, {""head"": ""rocha selante"", ""relation"": ""prevents_or_retains"", ""tail"": ""baixa permeabilidade""}, {""head"": ""baixa permeabilidade"", ""relation"": ""prevents_or_retains"", ""tail"": ""selo geológico""}]",Bacia de Santos -> pré-sal -> evaporitos -> selo -> rocha selante -> baixa permeabilidade -> selo geológico,4,hard,True,multi_document,graphrag
2,Como as evidências conectam Bacia de Santos à retenção ou migração de hidrocarbonetos?,Qual unidade deve ser associada ao papel de cobertura dos campos gigantes do pré-sal da Bacia de Santos?,A espessa camada de evaporitos deve ser associada ao papel de cobertura/selo dos campos gigantes e supergigantes do pré-sal.,selo_e_retencao,2,1,Geologia do petróleo | Wikipédia,https://pt.wikipedia.org/wiki/Geologia_do_petr%C3%B3leo,"O selo, ou rocha selante, é uma unidade com baixa permeabilidade que impede o escape de hidrocarbonetos da rocha reservatório.",20,Bacia de Santos | pré-sal | evaporitos | selo | rocha selante | reservatório | hidrocarbonetos | carbonáticas | permeabilidade,"[{""head"": ""Bacia de Santos"", ""relation"": ""acts_as"", ""tail"": ""pré-sal""}, {""head"": ""pré-sal"", ""relation"": ""enables"", ""tail"": ""evaporitos""}, {""head"": ""evaporitos"", ""relation"": ""prevents_or_retains"", ""tail"": ""selo""}, {""head"": ""selo"", ""relation"": ""prevents_or_retains"", ""tail"": ""rocha selante""}, {""head"": ""rocha selante"", ""relation"": ""prevents_or_retains"", ""tail"": ""baixa permeabilidade""}, {""head"": ""baixa permeabilidade"", ""relation"": ""prevents_or_retains"", ""tail"": ""selo geológico""}]",Bacia de Santos -> pré-sal -> evaporitos -> selo -> rocha selante -> baixa permeabilidade -> selo geológico,4,hard,True,multi_document,graphrag
3,Como as evidências conectam pré-sal à geração de óleo e gás?,Que rochas explicam a geração do óleo e gás nas porções profundas dos lagos do pré-sal?,As rochas geradoras formadas por matéria orgânica de algas microscópicas misturada a sedimentos explicam a geração do óleo e gás do pré-sal.,geracao_de_hidrocarbonetos,1,1,Pré-sal: mergulhe nessa jornada ultraprofunda | Petrobras,https://petrobras.com.br/pre-sal,Nas regiões mais profundas destes lagos começaram a acumular grandes quantidades de matéria orgânica de algas microscópicas.,17,pré-sal | rocha geradora | rochas geradoras | petróleo | óleo | gás | matéria orgânica | algas microscópicas | lagos,"[{""head"": ""pré-sal"", ""relation"": ""is_related_to"", ""tail"": ""rocha geradora""}, {""head"": ""rocha geradora"", ""relation"": ""supports"", ""tail"": ""rochas geradoras""}, {""head"": ""rochas geradoras"", ""relation"": ""indicates"", ""tail"": ""petróleo""}, {""head"": ""petróleo"", ""relation"": ""indicates"", ""tail"": ""óleo""}, {""head"": ""óleo"", ""relation"": ""indicates"", ""tail"": ""baixa permeabilidade""}, {""head"": ""baixa permeabilidade"", ""relation"": ""indicates"", ""tail"": ""selo geológico""}]",pré-sal -> rocha geradora -> rochas geradoras -> petróleo -> óleo -> baixa permeabilidade -> selo geológico,4,hard,True,multi_document,graphrag
3,Como as evidências conectam pré-sal à geração de óleo e gás?,Que rochas explicam a geração do óleo e gás nas porções profundas dos lagos do pré-sal?,As rochas geradoras formadas por matéria orgânica de algas microscópicas misturada a sedimentos explicam a geração do óleo e gás do pré-sal.,geracao_de_hidrocarbonetos,1,2,Pré-sal: mergulhe nessa jornada ultraprofunda | Petrobras,https://petrobras.com.br/pre-sal,"Esta matéria orgânica, misturada a sedimentos, formou o que são as rochas que geram o óleo e o gás do pré-sal.",21,pré-sal | rocha geradora | rochas geradoras | petróleo | óleo | gás | matéria orgânica | algas microscópicas | lagos,"[{""head"": ""pré-sal"", ""relation"": ""is_related_to"", ""tail"": ""rocha geradora""}, {""head"": ""rocha geradora"", ""relation"": ""supports"", ""tail"": ""rochas geradoras""}, {""head"": ""rochas geradoras"", ""relation"": ""indicates"", ""tail"": ""petróleo""}, {""head"": ""petróleo"", ""relation"": ""indicates"", ""tail"": ""óleo""}, {""head"": ""óleo"", ""relation"": ""indicates"", ""tail"": ""baixa permeabilidade""}, {""head"": ""baixa permeabilidade"", ""relation"": ""indicates"", ""tail"": ""selo geológico""}]",pré-sal -> rocha geradora -> rochas geradoras -> petróleo -> óleo -> baixa permeabilidade -> selo geológico,4,hard,True,multi_document,graphrag
3,Como as evidências conectam pré-sal à geração de óleo e gás?,Que rochas explicam a geração do óleo e gás nas porções profundas dos lagos do pré-sal?,As rochas geradoras formadas por matéria orgânica de algas microscópicas misturada a sedimentos explicam a geração do óleo e gás do pré-sal.,geracao_de_hidrocarbonetos,2,1,Petróleo | SGB,https://www.sgb.gov.br/petroleo,A rocha onde o petróleo se forma é chamada de rocha geradora.,12,pré-sal | rocha geradora | rochas geradoras | petróleo | óleo | gás | matéria orgânica | algas microscópicas | lagos,"[{""head"": ""pré-sal"", ""relation"": ""is_related_to"", ""tail"": ""rocha geradora""}, {""head"": ""rocha geradora"", ""relation"": ""supports"", ""tail"": ""rochas geradoras""}, {""head"": ""rochas geradoras"", ""relation"": ""indicates"", ""tail"": ""petróleo""}, {""head"": ""petróleo"", ""relation"": ""indicates"", ""tail"": ""óleo""}, {""head"": ""óleo"", ""relation"": ""indicates"", ""tail"": ""baixa permeabilidade""}, {""head"": ""baixa permeabilidade"", ""relation"": ""indicates"", ""tail"": ""selo geológico""}]",pré-sal -> rocha geradora -> rochas geradoras -> petróleo -> óleo -> baixa permeabilidade -> selo geológico,4,hard,True,multi_document,graphrag
3,Como as evidências conectam pré-sal à geração de óleo e gás?,Que rochas explicam a geração do óleo e gás nas porções profundas dos lagos do pré-sal?,As rochas geradoras formadas por matéria orgânica de algas microscópicas misturada a sedimentos explicam a geração do óleo e gás do pré-sal.,geracao_de_hidrocarbonetos,2,2,Petróleo | SGB,https://www.sgb.gov.br/petroleo,As rochas geradoras mais comuns são folhelhos negros.,8,pré-sal | rocha geradora | rochas geradoras | petróleo | óleo | gás | matéria orgânica | algas microscópicas | lagos,"[{""head"": ""pré-sal"", ""relation"": ""is_related_to"", ""tail"": ""rocha geradora""}, {""head"": ""rocha geradora"", ""relation"": ""supports"", ""tail"": ""rochas geradoras""}, {""head"": ""rochas geradoras"", ""relation"": ""indicates"", ""tail"": ""petróleo""}, {""head"": ""petróleo"", ""relation"": ""indicates"", ""tail"": ""óleo""}, {""head"": ""óleo"", ""relation"": ""indicates"", ""tail"": ""baixa permeabilidade""}, {""head"": ""baixa permeabilidade"", ""relation"": ""indicates"", ""tail"": ""selo geológico""}]",pré-sal -> rocha geradora -> rochas geradoras -> petróleo -> óleo -> baixa permeabilidade -> selo geológico,4,hard,True,multi_document,graphrag
4,"Que relação entre composição, propriedade e função geológica pode ser inferida a partir de pré-sal?",Que associação entre conchas calcárias e estromatólitos caracteriza o principal armazenamento de hidrocarbonetos no pré-sal?,"Conchas calcárias e estromatólitos compõem reservatórios carbonáticos, isto é, unidades porosas capazes de armazenar hidrocarbonetos no pré-sal.",composicional_petrofisica,1,1,Pré-sal: mergulhe nessa jornada ultraprofunda | Petrobras,https://petrobras.com.br/pre-sal,"Nas partes mais rasas destes lagos, em grandes ilhas lacustres, surgiram as chamadas conchas calcárias que se acumularam cada vez mais com o passar do tempo.",26,pré-sal | reservatório | reservatórios carbonáticos | hidrocarbonetos | estromatólitos | lagos | Conchas | Mais | Tanto,"[{""head"": ""pré-sal"", ""relation"": ""is_composed_of_or_related_to"", ""tail"": ""reservatório""}, {""head"": ""reservatório"", ""relation"": ""has_property"", ""tail"": ""reservatórios carbonáticos""}, {""head"": ""reservatórios carbonáticos"", ""relation"": ""supports_function"", ""tail"": ""hidrocarbonetos""}, {""head"": ""hidrocarbonetos"", ""relation"": ""supports_function"", ""tail"": ""estromatólitos""}, {""head"": ""estromatólitos"", ""relation"": ""supports_function"", ""tail"": ""baixa permeabilidade""}, {""head"": ""baixa permeabilidade"", ""relation"": ""supports_function"", ""tail"": ""selo geológico""}]",pré-sal -> reservatório -> reservatórios carbonáticos -> hidrocarbonetos -> estromatólitos -> baixa permeabilidade -> selo geológico,4,hard,True,multi_document,graphrag
