id,question,original_question,expected_answer,tipo_inferencia,source_titles,source_urls,context_concat,context_words,entities,reasoning_path,num_hops,difficulty,requires_ontology,retrieval_scope,dataset_version
1,Como as evidências conectam Bacia de Santos à retenção ou migração de hidrocarbonetos?,Que entidade geológica explica a retenção do petróleo abaixo dos reservatórios carbonáticos da Bacia de Santos?,"A camada de sal/evaporitos é a entidade que atua como barreira ou selo, mantendo os hidrocarbonetos retidos nos reservatórios carbonáticos do pré-sal.",selo_e_retencao,Quem Somos | Comunica Bacia de Santos | Petrobras | Petróleo do Pré-Sal | SGB,https://comunicabaciadesantos.petrobras.com.br/quem-somos | https://www.sgb.gov.br/petroleo-do-pre-sal,"Em uma região de águas ultraprofundas, ocorre o desenvolvimento de reservatórios carbonáticos abaixo de uma camada de sal com até dois quilômetros de espessura, conhecida como pré-sal, caracterizando uma das maiores províncias de petróleo do mundo, apresentando acumulações de óleo pesado, óleo leve e gás não associado. Essa barreira, chamada de trapa, pode ser uma rocha impermeável, como uma camada de sal. Essa espessa camada de sal, formada principalmente de halita (cloreto de sódio, ou seja, o sal que usamos na comida) e anidrita (sulfato de cálcio) é uma barreira que se formou diretamente sobre a rocha geradora, impedindo que, neste caso, o petróleo migrasse.",105,Bacia de Santos | pré-sal | camada de sal | evaporitos | halita | anidrita | selo | trapa | barreira,Bacia de Santos -> pré-sal -> camada de sal -> evaporitos -> halita -> baixa permeabilidade -> selo geológico,4,hard,True,multi_document,graphrag
2,Como as evidências conectam Bacia de Santos à retenção ou migração de hidrocarbonetos?,Qual unidade deve ser associada ao papel de cobertura dos campos gigantes do pré-sal da Bacia de Santos?,A espessa camada de evaporitos deve ser associada ao papel de cobertura/selo dos campos gigantes e supergigantes do pré-sal.,selo_e_retencao,Estratigrafia e modelos deposicionais carbonáticos do Pré-sal da Bacia de Santos | Universidade Petrobras | Geologia do petróleo | Wikipédia,https://publicacoesup.petrobras.com.br/peld/catalog/book/12/chapter/16 | https://pt.wikipedia.org/wiki/Geologia_do_petr%C3%B3leo,"Campos gigantes e supergigantes de alta produtividade na seção Pré-sal da Bacia de Santos são constituídos predominantemente por fácies carbonáticas lacustres e selados por espessa camada de evaporitos. O selo, ou rocha selante, é uma unidade com baixa permeabilidade que impede o escape de hidrocarbonetos da rocha reservatório.",48,Bacia de Santos | pré-sal | evaporitos | selo | rocha selante | reservatório | hidrocarbonetos | carbonáticas | permeabilidade,Bacia de Santos -> pré-sal -> evaporitos -> selo -> rocha selante -> baixa permeabilidade -> selo geológico,4,hard,True,multi_document,graphrag
3,Como as evidências conectam pré-sal à geração de óleo e gás?,Que rochas explicam a geração do óleo e gás nas porções profundas dos lagos do pré-sal?,As rochas geradoras formadas por matéria orgânica de algas microscópicas misturada a sedimentos explicam a geração do óleo e gás do pré-sal.,geracao_de_hidrocarbonetos,Pré-sal: mergulhe nessa jornada ultraprofunda | Petrobras | Petróleo | SGB,https://petrobras.com.br/pre-sal | https://www.sgb.gov.br/petroleo,"Nas regiões mais profundas destes lagos começaram a acumular grandes quantidades de matéria orgânica de algas microscópicas. Esta matéria orgânica, misturada a sedimentos, formou o que são as rochas que geram o óleo e o gás do pré-sal. A rocha onde o petróleo se forma é chamada de rocha geradora. As rochas geradoras mais comuns são folhelhos negros.",58,pré-sal | rocha geradora | rochas geradoras | petróleo | óleo | gás | matéria orgânica | algas microscópicas | lagos,pré-sal -> rocha geradora -> rochas geradoras -> petróleo -> óleo -> baixa permeabilidade -> selo geológico,4,hard,True,multi_document,graphrag
4,"Que relação entre composição, propriedade e função geológica pode ser inferida a partir de pré-sal?",Que associação entre conchas calcárias e estromatólitos caracteriza o principal armazenamento de hidrocarbonetos no pré-sal?,"Conchas calcárias e estromatólitos compõem reservatórios carbonáticos, isto é, unidades porosas capazes de armazenar hidrocarbonetos no pré-sal.",composicional_petrofisica,Pré-sal: mergulhe nessa jornada ultraprofunda | Petrobras | Geologia do petróleo | Wikipédia,https://petrobras.com.br/pre-sal | https://pt.wikipedia.org/wiki/Geologia_do_petr%C3%B3leo,"Nas partes mais rasas destes lagos, em grandes ilhas lacustres, surgiram as chamadas conchas calcárias que se acumularam cada vez mais com o passar do tempo. Mais pra frente, essas conchas 'ganharam a companhia' de depósitos de estromatólitos, que nada mais são do que tipos de algas que formam rochas calcárias. Tanto as conchas calcárias quanto as rochas calcárias compõem os principais reservatórios do pré-sal. O reservatório é uma unidade litológica porosa e permeável ou conjunto de unidade que retém as reservas de hidrocarbonetos.",84,pré-sal | reservatório | reservatórios carbonáticos | hidrocarbonetos | estromatólitos | lagos | Conchas | Mais | Tanto,pré-sal -> reservatório -> reservatórios carbonáticos -> hidrocarbonetos -> estromatólitos -> baixa permeabilidade -> selo geológico,4,hard,True,multi_document,graphrag
5,"Que ambiente deposicional é sugerido pela associação entre pré-sal, reservatório e petróleo?",Por que as regiões rasas dos antigos lagos são relevantes para interpretar os reservatórios do pré-sal?,"Porque nelas se acumularam conchas calcárias e estromatólitos, que formaram rochas calcárias associadas aos principais reservatórios do pré-sal.",ambiente_deposicional,Pré-sal: mergulhe nessa jornada ultraprofunda | Petrobras | Sistema petrolífero | Wikipédia,https://petrobras.com.br/pre-sal | https://pt.wikipedia.org/wiki/Sistema_petrol%C3%ADfero,"Nas partes mais rasas destes lagos, em grandes ilhas lacustres, surgiram as chamadas conchas calcárias que se acumularam cada vez mais com o passar do tempo. Mais pra frente, essas conchas 'ganharam a companhia' de depósitos de estromatólitos, que nada mais são do que tipos de algas que formam rochas calcárias. Tanto as conchas calcárias quanto as rochas calcárias compõem os principais reservatórios do pré-sal. A condição para o armazenamento do petróleo nas rochas reservatório é a porosidade de tais rochas, que variam de 5% a 35%, tendo em média de 15% a 30%. Geralmente são compostas por granulometria de areia a seixo como arenitos, calcarenitos ou conglomerados.",108,pré-sal | reservatório | petróleo | óleo | estromatólitos | lagos | porosidade | Mais | Tanto,pré-sal -> reservatório -> petróleo -> óleo -> estromatólitos -> baixa permeabilidade -> selo geológico,4,hard,True,multi_document,graphrag
6,"Que relação entre composição, propriedade e função geológica pode ser inferida a partir de Bacia de Santos?",Qual material sedimentar indica a origem lacustre dos reservatórios carbonáticos da Bacia de Santos?,"As fácies carbonáticas lacustres, incluindo coquinas, laminitos e estromatólitos, indicam origem lacustre para os reservatórios do pré-sal da Bacia de Santos.",composicional_petrofisica,Estratigrafia e modelos deposicionais carbonáticos do Pré-sal da Bacia de Santos | Universidade Petrobras | Campo de Búzios: a jornada desde a caracterização dos reservatórios ao início do desenvolvimento da produção | Universidade Petrobras,https://publicacoesup.petrobras.com.br/peld/catalog/book/12/chapter/16 | https://publicacoesup.petrobras.com.br/peld/catalog/book/12/chapter/23,"Campos gigantes e supergigantes de alta produtividade na seção Pré-sal da Bacia de Santos são constituídos predominantemente por fácies carbonáticas lacustres e selados por espessa camada de evaporitos. Depósitos bioclásticos de moluscos bivalves do Barremiano/Aptiano, denominados coquinas do andar local Jiquiá, ocorrem sobre blocos altos falhados, formados durante a tectônica rifte, em morfologias herdadas do embasamento, intercalados com fácies ricas em matéria orgânica em camadas conformantes contínuas nos baixos adjacentes, em ambiente de água doce a salobra. As rochas carbonáticas do Aptiano, andar local Alagoas, são depósitos autóctones bioquímicos representados por laminitos e arbustos fasciculares (estromatolitos) que se depositaram em condições alcalinas, sobre altos herdados do embasamento e em contexto de subsidência térmica flexural com menor influência de falhas. Os reservatórios são rochas carbonáticas de origem lacustre (idade aptiana), depositadas durante o rifteamento oblíquo de abertura da Bacia de Santos e compreende às formações Itapema (Sequência K38) e Barra Velha (Sequências K44 e K46/K48). Nos altos estruturais, a Formação Itapema é composta majoritariamente por rudstones e grainstones de bivalves e a Formação Barra Velha, por estromatólitos, grainstones intraclásticos e esferulititos.",180,Bacia de Santos | pré-sal | Formação Barra Velha | Formação Itapema | evaporitos | reservatório | reservatórios carbonáticos | carbonáticas | coquinas,Bacia de Santos -> pré-sal -> Formação Barra Velha -> Formação Itapema -> evaporitos -> baixa permeabilidade -> selo geológico,4,hard,True,multi_document,graphrag
7,"Que interpretação temporal pode ser obtida ao relacionar Bacia de Santos, pré-sal e reservatório?",Que evento geológico criou o cenário inicial para a formação dos lagos associados ao pré-sal?,A separação entre América do Sul e África criou depressões que originaram lagos nos quais se formaram rochas geradoras e reservatórios carbonáticos.,temporal_estratigrafica,Pré-sal: mergulhe nessa jornada ultraprofunda | Petrobras | Quem Somos | Comunica Bacia de Santos | Petrobras,https://petrobras.com.br/pre-sal | https://comunicabaciadesantos.petrobras.com.br/quem-somos,"O pré-sal são rochas sedimentares que foram formadas há mais de 100 milhões de anos com a separação dos atuais continentes sul-americano e africano. Com essa separação, surgiram grandes depressões que deram origem a diversos lagos, que mais tarde foram conectados aos oceanos. Formada há mais de 130 milhões de anos, após o início da separação de América do Sul e África, a Bacia de Santos é uma típica bacia sedimentar de margem atlântica, apresentando, porém, uma evolução geológica diferente das bacias de Campos e Pelotas, localizadas respectivamente a norte e sul.",92,Bacia de Santos | pré-sal | reservatório | reservatórios carbonáticos | rochas geradoras | lagos | América | África | Formada,Bacia de Santos -> pré-sal -> reservatório -> reservatórios carbonáticos -> rochas geradoras -> matéria orgânica -> rocha geradora,4,hard,True,multi_document,graphrag
8,Como as evidências conectam pré-sal à retenção ou migração de hidrocarbonetos?,Que componente do sistema impede que o petróleo gerado nas rochas inferiores chegue à superfície?,"A camada de sal funciona como barreira/trapa, interrompendo a migração ascendente dos hidrocarbonetos.",processual_migracao,Petróleo do Pré-Sal | SGB | Pré-sal: mergulhe nessa jornada ultraprofunda | Petrobras,https://www.sgb.gov.br/petroleo-do-pre-sal | https://petrobras.com.br/pre-sal,"Com isso, o petróleo migra para cima através dos poros existentes nas rochas, até encontrar algo que o impeça de continuar se deslocando. Essa barreira, chamada de trapa, pode ser uma rocha impermeável, como uma camada de sal. Essa espessa camada de sal, formada principalmente de halita (cloreto de sódio, ou seja, o sal que usamos na comida) e anidrita (sulfato de cálcio) é uma barreira que se formou diretamente sobre a rocha geradora, impedindo que, neste caso, o petróleo migrasse. Por causa do clima árido daquele tempo, a evaporação intensa da água marinha provocou a acumulação de sais, o que criou a camada do pré-sal, uma espécie de proteção que impedia que o petróleo 'escapasse' e chegasse à superfície.",120,pré-sal | camada de sal | halita | anidrita | trapa | barreira | rocha geradora | hidrocarbonetos | petróleo,pré-sal -> camada de sal -> halita -> anidrita -> trapa -> baixa permeabilidade -> selo geológico,4,hard,True,multi_document,graphrag
9,"Como as evidências disponíveis permitem reinterpretar a pergunta: Qual interpretação conecta clima árido, evaporação marinha e preservação de acumulações no pré-sal?","Qual interpretação conecta clima árido, evaporação marinha e preservação de acumulações no pré-sal?","O clima árido favoreceu a evaporação da água marinha, gerando sais que formaram a camada salina responsável por reter o petróleo.",interpretativa,Pré-sal: mergulhe nessa jornada ultraprofunda | Petrobras | Evaporito | Wikipédia,https://petrobras.com.br/pre-sal | https://pt.wikipedia.org/wiki/Evaporito,"Por causa do clima árido daquele tempo, a evaporação intensa da água marinha provocou a acumulação de sais, o que criou a camada do pré-sal, uma espécie de proteção que impedia que o petróleo 'escapasse' e chegasse à superfície. Na visão tradicional, evaporito ou depósito salino é uma rocha sedimentar formada pela cristalização e precipitação química dos sais dissolvidos em um meio aquoso, devido a um processo de evaporação. Seu ambiente de formação são bacias fechadas sujeitas a evaporação intensa.",80,pré-sal | petróleo | óleo | acumulação,pré-sal -> petróleo -> óleo -> acumulação -> baixa permeabilidade -> selo geológico -> retenção de hidrocarbonetos,3,medium,False,multi_passage,graphrag
10,Como as evidências conectam pré-sal à retenção ou migração de hidrocarbonetos?,O que justifica tratar a camada de sal do pré-sal como elemento crítico de fechamento petrolífero?,"Ela forma uma barreira de baixa permeabilidade posicionada sobre as rochas inferiores, impedindo a fuga dos hidrocarbonetos.",selo_e_retencao,Petróleo do Pré-Sal | SGB | Sistema petrolífero | Wikipédia,https://www.sgb.gov.br/petroleo-do-pre-sal | https://pt.wikipedia.org/wiki/Sistema_petrol%C3%ADfero,"O que se chama de pré-sal são as rochas sedimentares que existem abaixo da uma camada de sal com até 2.000 m de espessura, que se estende por uma grande extensão. Essa espessa camada de sal, formada principalmente de halita (cloreto de sódio, ou seja, o sal que usamos na comida) e anidrita (sulfato de cálcio) é uma barreira que se formou diretamente sobre a rocha geradora, impedindo que, neste caso, o petróleo migrasse. As rochas selantes são rochas de baixa permeabilidade, como folhelhos, siltitos e calciculitos, de forma que impedem o escape dos fluidos da rocha reservatório. Geralmente estas rochas situam-se acima do reservatório.",105,pré-sal | camada de sal | halita | anidrita | barreira | reservatório | rocha geradora | hidrocarbonetos | petróleo,pré-sal -> camada de sal -> halita -> anidrita -> barreira -> baixa permeabilidade -> selo geológico,4,hard,True,multi_document,graphrag
11,Que interpretação espacial pode ser obtida ao conectar pré-sal com camada de sal?,Como profundidade e cobertura salina tornam o pré-sal um alvo tecnicamente complexo?,"As formações estão a grandes profundidades e abaixo de até cerca de 2 mil metros de sal, exigindo interpretação integrada da coluna sedimentar e da cobertura evaporítica.",espacial,Pré-sal Bacia de Santos | Comunica Bacia de Santos | Petrobras | Quem Somos | Comunica Bacia de Santos | Petrobras,https://comunicabaciadesantos.petrobras.com.br/pre-sal-bacia-de-santos | https://comunicabaciadesantos.petrobras.com.br/quem-somos,"Tais formações encontram-se a distâncias de cerca de 300 quilômetros da costa brasileira, em profundidades de aproximadamente 5 mil metros, sendo 2 mil de lâmina d’água, mil metros de sedimentos e outros 2 mil de sal. Em uma região de águas ultraprofundas, ocorre o desenvolvimento de reservatórios carbonáticos abaixo de uma camada de sal com até dois quilômetros de espessura, conhecida como pré-sal, caracterizando uma das maiores províncias de petróleo do mundo, apresentando acumulações de óleo pesado, óleo leve e gás não associado.",83,pré-sal | camada de sal | reservatório | reservatórios carbonáticos | petróleo | óleo | gás | Tais,pré-sal -> camada de sal -> reservatório -> reservatórios carbonáticos -> petróleo -> baixa permeabilidade -> selo geológico,4,hard,True,multi_document,graphrag
