id,question,original_question,context,expected_answer,tipo_inferencia,entities,relations,reasoning_path,num_hops,answer_type,difficulty,requires_ontology,retrieval_scope,source
1,Como as evidências conectam Bacia de Santos à retenção ou migração de hidrocarbonetos?,Que entidade geológica explica a retenção do petróleo abaixo dos reservatórios carbonáticos da Bacia de Santos?,"Em uma região de águas ultraprofundas, ocorre o desenvolvimento de reservatórios carbonáticos abaixo de uma camada de sal com até dois quilômetros de espessura, conhecida como pré-sal, caracterizando uma das maiores províncias de petróleo do mundo, apresentando acumulações de óleo pesado, óleo leve e gás não associado. Essa barreira, chamada de trapa, pode ser uma rocha impermeável, como uma camada de sal. Essa espessa camada de sal, formada principalmente de halita (cloreto de sódio, ou seja, o sal que usamos na comida) e anidrita (sulfato de cálcio) é uma barreira que se formou diretamente sobre a rocha geradora, impedindo que, neste caso, o petróleo migrasse.","A camada de sal/evaporitos é a entidade que atua como barreira ou selo, mantendo os hidrocarbonetos retidos nos reservatórios carbonáticos do pré-sal.",selo_e_retencao,Bacia de Santos | pré-sal | camada de sal | evaporitos | halita | anidrita | selo | trapa | barreira,"[{""head"": ""Bacia de Santos"", ""relation"": ""acts_as"", ""tail"": ""pré-sal""}, {""head"": ""pré-sal"", ""relation"": ""enables"", ""tail"": ""camada de sal""}, {""head"": ""camada de sal"", ""relation"": ""prevents_or_retains"", ""tail"": ""evaporitos""}, {""head"": ""evaporitos"", ""relation"": ""prevents_or_retains"", ""tail"": ""halita""}, {""head"": ""halita"", ""relation"": ""prevents_or_retains"", ""tail"": ""baixa permeabilidade""}, {""head"": ""baixa permeabilidade"", ""relation"": ""prevents_or_retains"", ""tail"": ""selo geológico""}]",Bacia de Santos -> pré-sal -> camada de sal -> evaporitos -> halita -> baixa permeabilidade -> selo geológico,4,entity_role,hard,True,multi_document,https://comunicabaciadesantos.petrobras.com.br/quem-somos | https://www.sgb.gov.br/petroleo-do-pre-sal
2,Como as evidências conectam Bacia de Santos à retenção ou migração de hidrocarbonetos?,Qual unidade deve ser associada ao papel de cobertura dos campos gigantes do pré-sal da Bacia de Santos?,"Campos gigantes e supergigantes de alta produtividade na seção Pré-sal da Bacia de Santos são constituídos predominantemente por fácies carbonáticas lacustres e selados por espessa camada de evaporitos. O selo, ou rocha selante, é uma unidade com baixa permeabilidade que impede o escape de hidrocarbonetos da rocha reservatório.",A espessa camada de evaporitos deve ser associada ao papel de cobertura/selo dos campos gigantes e supergigantes do pré-sal.,selo_e_retencao,Bacia de Santos | pré-sal | evaporitos | selo | rocha selante | reservatório | hidrocarbonetos | carbonáticas | permeabilidade,"[{""head"": ""Bacia de Santos"", ""relation"": ""acts_as"", ""tail"": ""pré-sal""}, {""head"": ""pré-sal"", ""relation"": ""enables"", ""tail"": ""evaporitos""}, {""head"": ""evaporitos"", ""relation"": ""prevents_or_retains"", ""tail"": ""selo""}, {""head"": ""selo"", ""relation"": ""prevents_or_retains"", ""tail"": ""rocha selante""}, {""head"": ""rocha selante"", ""relation"": ""prevents_or_retains"", ""tail"": ""baixa permeabilidade""}, {""head"": ""baixa permeabilidade"", ""relation"": ""prevents_or_retains"", ""tail"": ""selo geológico""}]",Bacia de Santos -> pré-sal -> evaporitos -> selo -> rocha selante -> baixa permeabilidade -> selo geológico,4,entity_role,hard,True,multi_document,https://publicacoesup.petrobras.com.br/peld/catalog/book/12/chapter/16 | https://pt.wikipedia.org/wiki/Geologia_do_petr%C3%B3leo
3,Como as evidências conectam pré-sal à geração de óleo e gás?,Que rochas explicam a geração do óleo e gás nas porções profundas dos lagos do pré-sal?,"Nas regiões mais profundas destes lagos começaram a acumular grandes quantidades de matéria orgânica de algas microscópicas. Esta matéria orgânica, misturada a sedimentos, formou o que são as rochas que geram o óleo e o gás do pré-sal. A rocha onde o petróleo se forma é chamada de rocha geradora. As rochas geradoras mais comuns são folhelhos negros.",As rochas geradoras formadas por matéria orgânica de algas microscópicas misturada a sedimentos explicam a geração do óleo e gás do pré-sal.,geracao_de_hidrocarbonetos,pré-sal | rocha geradora | rochas geradoras | petróleo | óleo | gás | matéria orgânica | algas microscópicas | lagos,"[{""head"": ""pré-sal"", ""relation"": ""is_related_to"", ""tail"": ""rocha geradora""}, {""head"": ""rocha geradora"", ""relation"": ""supports"", ""tail"": ""rochas geradoras""}, {""head"": ""rochas geradoras"", ""relation"": ""indicates"", ""tail"": ""petróleo""}, {""head"": ""petróleo"", ""relation"": ""indicates"", ""tail"": ""óleo""}, {""head"": ""óleo"", ""relation"": ""indicates"", ""tail"": ""baixa permeabilidade""}, {""head"": ""baixa permeabilidade"", ""relation"": ""indicates"", ""tail"": ""selo geológico""}]",pré-sal -> rocha geradora -> rochas geradoras -> petróleo -> óleo -> baixa permeabilidade -> selo geológico,4,process_relation,hard,True,multi_document,https://petrobras.com.br/pre-sal | https://www.sgb.gov.br/petroleo
4,"Que relação entre composição, propriedade e função geológica pode ser inferida a partir de pré-sal?",Que associação entre conchas calcárias e estromatólitos caracteriza o principal armazenamento de hidrocarbonetos no pré-sal?,"Nas partes mais rasas destes lagos, em grandes ilhas lacustres, surgiram as chamadas conchas calcárias que se acumularam cada vez mais com o passar do tempo. Mais pra frente, essas conchas 'ganharam a companhia' de depósitos de estromatólitos, que nada mais são do que tipos de algas que formam rochas calcárias. Tanto as conchas calcárias quanto as rochas calcárias compõem os principais reservatórios do pré-sal. O reservatório é uma unidade litológica porosa e permeável ou conjunto de unidade que retém as reservas de hidrocarbonetos.","Conchas calcárias e estromatólitos compõem reservatórios carbonáticos, isto é, unidades porosas capazes de armazenar hidrocarbonetos no pré-sal.",composicional_petrofisica,pré-sal | reservatório | reservatórios carbonáticos | hidrocarbonetos | estromatólitos | lagos | Conchas | Mais | Tanto,"[{""head"": ""pré-sal"", ""relation"": ""is_composed_of_or_related_to"", ""tail"": ""reservatório""}, {""head"": ""reservatório"", ""relation"": ""has_property"", ""tail"": ""reservatórios carbonáticos""}, {""head"": ""reservatórios carbonáticos"", ""relation"": ""supports_function"", ""tail"": ""hidrocarbonetos""}, {""head"": ""hidrocarbonetos"", ""relation"": ""supports_function"", ""tail"": ""estromatólitos""}, {""head"": ""estromatólitos"", ""relation"": ""supports_function"", ""tail"": ""baixa permeabilidade""}, {""head"": ""baixa permeabilidade"", ""relation"": ""supports_function"", ""tail"": ""selo geológico""}]",pré-sal -> reservatório -> reservatórios carbonáticos -> hidrocarbonetos -> estromatólitos -> baixa permeabilidade -> selo geológico,4,composition_property,hard,True,multi_document,https://petrobras.com.br/pre-sal | https://pt.wikipedia.org/wiki/Geologia_do_petr%C3%B3leo
5,"Que ambiente deposicional é sugerido pela associação entre pré-sal, reservatório e petróleo?",Por que as regiões rasas dos antigos lagos são relevantes para interpretar os reservatórios do pré-sal?,"Nas partes mais rasas destes lagos, em grandes ilhas lacustres, surgiram as chamadas conchas calcárias que se acumularam cada vez mais com o passar do tempo. Mais pra frente, essas conchas 'ganharam a companhia' de depósitos de estromatólitos, que nada mais são do que tipos de algas que formam rochas calcárias. Tanto as conchas calcárias quanto as rochas calcárias compõem os principais reservatórios do pré-sal. A condição para o armazenamento do petróleo nas rochas reservatório é a porosidade de tais rochas, que variam de 5% a 35%, tendo em média de 15% a 30%. Geralmente são compostas por granulometria de areia a seixo como arenitos, calcarenitos ou conglomerados.","Porque nelas se acumularam conchas calcárias e estromatólitos, que formaram rochas calcárias associadas aos principais reservatórios do pré-sal.",ambiente_deposicional,pré-sal | reservatório | petróleo | óleo | estromatólitos | lagos | porosidade | Mais | Tanto,"[{""head"": ""pré-sal"", ""relation"": ""is_associated_with"", ""tail"": ""reservatório""}, {""head"": ""reservatório"", ""relation"": ""indicates_environment"", ""tail"": ""petróleo""}, {""head"": ""petróleo"", ""relation"": ""supports_interpretation"", ""tail"": ""óleo""}, {""head"": ""óleo"", ""relation"": ""supports_interpretation"", ""tail"": ""estromatólitos""}, {""head"": ""estromatólitos"", ""relation"": ""supports_interpretation"", ""tail"": ""baixa permeabilidade""}, {""head"": ""baixa permeabilidade"", ""relation"": ""supports_interpretation"", ""tail"": ""selo geológico""}]",pré-sal -> reservatório -> petróleo -> óleo -> estromatólitos -> baixa permeabilidade -> selo geológico,4,interpretive_answer,hard,True,multi_document,https://petrobras.com.br/pre-sal | https://pt.wikipedia.org/wiki/Sistema_petrol%C3%ADfero
6,"Que relação entre composição, propriedade e função geológica pode ser inferida a partir de Bacia de Santos?",Qual material sedimentar indica a origem lacustre dos reservatórios carbonáticos da Bacia de Santos?,"Campos gigantes e supergigantes de alta produtividade na seção Pré-sal da Bacia de Santos são constituídos predominantemente por fácies carbonáticas lacustres e selados por espessa camada de evaporitos. Depósitos bioclásticos de moluscos bivalves do Barremiano/Aptiano, denominados coquinas do andar local Jiquiá, ocorrem sobre blocos altos falhados, formados durante a tectônica rifte, em morfologias herdadas do embasamento, intercalados com fácies ricas em matéria orgânica em camadas conformantes contínuas nos baixos adjacentes, em ambiente de água doce a salobra. As rochas carbonáticas do Aptiano, andar local Alagoas, são depósitos autóctones bioquímicos representados por laminitos e arbustos fasciculares (estromatolitos) que se depositaram em condições alcalinas, sobre altos herdados do embasamento e em contexto de subsidência térmica flexural com menor influência de falhas. Os reservatórios são rochas carbonáticas de origem lacustre (idade aptiana), depositadas durante o rifteamento oblíquo de abertura da Bacia de Santos e compreende às formações Itapema (Sequência K38) e Barra Velha (Sequências K44 e K46/K48). Nos altos estruturais, a Formação Itapema é composta majoritariamente por rudstones e grainstones de bivalves e a Formação Barra Velha, por estromatólitos, grainstones intraclásticos e esferulititos.","As fácies carbonáticas lacustres, incluindo coquinas, laminitos e estromatólitos, indicam origem lacustre para os reservatórios do pré-sal da Bacia de Santos.",composicional_petrofisica,Bacia de Santos | pré-sal | Formação Barra Velha | Formação Itapema | evaporitos | reservatório | reservatórios carbonáticos | carbonáticas | coquinas,"[{""head"": ""Bacia de Santos"", ""relation"": ""is_composed_of_or_related_to"", ""tail"": ""pré-sal""}, {""head"": ""pré-sal"", ""relation"": ""has_property"", ""tail"": ""Formação Barra Velha""}, {""head"": ""Formação Barra Velha"", ""relation"": ""supports_function"", ""tail"": ""Formação Itapema""}, {""head"": ""Formação Itapema"", ""relation"": ""supports_function"", ""tail"": ""evaporitos""}, {""head"": ""evaporitos"", ""relation"": ""supports_function"", ""tail"": ""baixa permeabilidade""}, {""head"": ""baixa permeabilidade"", ""relation"": ""supports_function"", ""tail"": ""selo geológico""}]",Bacia de Santos -> pré-sal -> Formação Barra Velha -> Formação Itapema -> evaporitos -> baixa permeabilidade -> selo geológico,4,composition_property,hard,True,multi_document,https://publicacoesup.petrobras.com.br/peld/catalog/book/12/chapter/16 | https://publicacoesup.petrobras.com.br/peld/catalog/book/12/chapter/23
7,"Que interpretação temporal pode ser obtida ao relacionar Bacia de Santos, pré-sal e reservatório?",Que evento geológico criou o cenário inicial para a formação dos lagos associados ao pré-sal?,"O pré-sal são rochas sedimentares que foram formadas há mais de 100 milhões de anos com a separação dos atuais continentes sul-americano e africano. Com essa separação, surgiram grandes depressões que deram origem a diversos lagos, que mais tarde foram conectados aos oceanos. Formada há mais de 130 milhões de anos, após o início da separação de América do Sul e África, a Bacia de Santos é uma típica bacia sedimentar de margem atlântica, apresentando, porém, uma evolução geológica diferente das bacias de Campos e Pelotas, localizadas respectivamente a norte e sul.",A separação entre América do Sul e África criou depressões que originaram lagos nos quais se formaram rochas geradoras e reservatórios carbonáticos.,temporal_estratigrafica,Bacia de Santos | pré-sal | reservatório | reservatórios carbonáticos | rochas geradoras | lagos | América | África | Formada,"[{""head"": ""Bacia de Santos"", ""relation"": ""precedes_or_underlies"", ""tail"": ""pré-sal""}, {""head"": ""pré-sal"", ""relation"": ""indicates"", ""tail"": ""reservatório""}, {""head"": ""reservatório"", ""relation"": ""supports"", ""tail"": ""reservatórios carbonáticos""}, {""head"": ""reservatórios carbonáticos"", ""relation"": ""supports"", ""tail"": ""rochas geradoras""}, {""head"": ""rochas geradoras"", ""relation"": ""supports"", ""tail"": ""matéria orgânica""}, {""head"": ""matéria orgânica"", ""relation"": ""supports"", ""tail"": ""rocha geradora""}]",Bacia de Santos -> pré-sal -> reservatório -> reservatórios carbonáticos -> rochas geradoras -> matéria orgânica -> rocha geradora,4,temporal_relation,hard,True,multi_document,https://petrobras.com.br/pre-sal | https://comunicabaciadesantos.petrobras.com.br/quem-somos
8,Como as evidências conectam pré-sal à retenção ou migração de hidrocarbonetos?,Que componente do sistema impede que o petróleo gerado nas rochas inferiores chegue à superfície?,"Com isso, o petróleo migra para cima através dos poros existentes nas rochas, até encontrar algo que o impeça de continuar se deslocando. Essa barreira, chamada de trapa, pode ser uma rocha impermeável, como uma camada de sal. Essa espessa camada de sal, formada principalmente de halita (cloreto de sódio, ou seja, o sal que usamos na comida) e anidrita (sulfato de cálcio) é uma barreira que se formou diretamente sobre a rocha geradora, impedindo que, neste caso, o petróleo migrasse. Por causa do clima árido daquele tempo, a evaporação intensa da água marinha provocou a acumulação de sais, o que criou a camada do pré-sal, uma espécie de proteção que impedia que o petróleo 'escapasse' e chegasse à superfície.","A camada de sal funciona como barreira/trapa, interrompendo a migração ascendente dos hidrocarbonetos.",processual_migracao,pré-sal | camada de sal | halita | anidrita | trapa | barreira | rocha geradora | hidrocarbonetos | petróleo,"[{""head"": ""pré-sal"", ""relation"": ""is_related_to"", ""tail"": ""camada de sal""}, {""head"": ""camada de sal"", ""relation"": ""controls"", ""tail"": ""halita""}, {""head"": ""halita"", ""relation"": ""affects"", ""tail"": ""anidrita""}, {""head"": ""anidrita"", ""relation"": ""affects"", ""tail"": ""trapa""}, {""head"": ""trapa"", ""relation"": ""affects"", ""tail"": ""baixa permeabilidade""}, {""head"": ""baixa permeabilidade"", ""relation"": ""affects"", ""tail"": ""selo geológico""}]",pré-sal -> camada de sal -> halita -> anidrita -> trapa -> baixa permeabilidade -> selo geológico,4,process_relation,hard,True,multi_document,https://www.sgb.gov.br/petroleo-do-pre-sal | https://petrobras.com.br/pre-sal
9,"Como as evidências disponíveis permitem reinterpretar a pergunta: Qual interpretação conecta clima árido, evaporação marinha e preservação de acumulações no pré-sal?","Qual interpretação conecta clima árido, evaporação marinha e preservação de acumulações no pré-sal?","Por causa do clima árido daquele tempo, a evaporação intensa da água marinha provocou a acumulação de sais, o que criou a camada do pré-sal, uma espécie de proteção que impedia que o petróleo 'escapasse' e chegasse à superfície. Na visão tradicional, evaporito ou depósito salino é uma rocha sedimentar formada pela cristalização e precipitação química dos sais dissolvidos em um meio aquoso, devido a um processo de evaporação. Seu ambiente de formação são bacias fechadas sujeitas a evaporação intensa.","O clima árido favoreceu a evaporação da água marinha, gerando sais que formaram a camada salina responsável por reter o petróleo.",interpretativa,pré-sal | petróleo | óleo | acumulação,"[{""head"": ""pré-sal"", ""relation"": ""is_related_to"", ""tail"": ""petróleo""}, {""head"": ""petróleo"", ""relation"": ""supports"", ""tail"": ""óleo""}, {""head"": ""óleo"", ""relation"": ""indicates"", ""tail"": ""acumulação""}, {""head"": ""acumulação"", ""relation"": ""indicates"", ""tail"": ""baixa permeabilidade""}, {""head"": ""baixa permeabilidade"", ""relation"": ""indicates"", ""tail"": ""selo geológico""}, {""head"": ""selo geológico"", ""relation"": ""indicates"", ""tail"": ""retenção de hidrocarbonetos""}]",pré-sal -> petróleo -> óleo -> acumulação -> baixa permeabilidade -> selo geológico -> retenção de hidrocarbonetos,3,interpretive_answer,medium,False,multi_passage,https://petrobras.com.br/pre-sal | https://pt.wikipedia.org/wiki/Evaporito
10,Como as evidências conectam pré-sal à retenção ou migração de hidrocarbonetos?,O que justifica tratar a camada de sal do pré-sal como elemento crítico de fechamento petrolífero?,"O que se chama de pré-sal são as rochas sedimentares que existem abaixo da uma camada de sal com até 2.000 m de espessura, que se estende por uma grande extensão. Essa espessa camada de sal, formada principalmente de halita (cloreto de sódio, ou seja, o sal que usamos na comida) e anidrita (sulfato de cálcio) é uma barreira que se formou diretamente sobre a rocha geradora, impedindo que, neste caso, o petróleo migrasse. As rochas selantes são rochas de baixa permeabilidade, como folhelhos, siltitos e calciculitos, de forma que impedem o escape dos fluidos da rocha reservatório. Geralmente estas rochas situam-se acima do reservatório.","Ela forma uma barreira de baixa permeabilidade posicionada sobre as rochas inferiores, impedindo a fuga dos hidrocarbonetos.",selo_e_retencao,pré-sal | camada de sal | halita | anidrita | barreira | reservatório | rocha geradora | hidrocarbonetos | petróleo,"[{""head"": ""pré-sal"", ""relation"": ""acts_as"", ""tail"": ""camada de sal""}, {""head"": ""camada de sal"", ""relation"": ""enables"", ""tail"": ""halita""}, {""head"": ""halita"", ""relation"": ""prevents_or_retains"", ""tail"": ""anidrita""}, {""head"": ""anidrita"", ""relation"": ""prevents_or_retains"", ""tail"": ""barreira""}, {""head"": ""barreira"", ""relation"": ""prevents_or_retains"", ""tail"": ""baixa permeabilidade""}, {""head"": ""baixa permeabilidade"", ""relation"": ""prevents_or_retains"", ""tail"": ""selo geológico""}]",pré-sal -> camada de sal -> halita -> anidrita -> barreira -> baixa permeabilidade -> selo geológico,4,entity_role,hard,True,multi_document,https://www.sgb.gov.br/petroleo-do-pre-sal | https://pt.wikipedia.org/wiki/Sistema_petrol%C3%ADfero
